2025年2回中山6日目 8R,2025031606020608,03Ｄ  
2025年2回中山6日目 7R,2025031606020607,03Ｄ  
2025年2回中山6日目 6R,2025031606020606,02Ｂ  
2025年2回中山6日目 5R,2025031606020605,03Ｄ  
2025年2回中山6日目 4R,2025031606020604,03Ｄ  
2025年2回中山6日目 3R,2025031606020603,0DＣ  
2025年2回中山6日目 2R,2025031606020602,03Ｄ  
2025年2回中山6日目 1R,2025031606020601,0DＣ  
2025年1回阪神5日目12R,2025031509010512,03Ｄ  
2025年1回阪神5日目11R,2025031509010511,0DＣ  
2025年1回阪神5日目10R,2025031509010510,0DＣ  
2025年1回阪神5日目 9R,2025031509010509,02Ｂ  
2025年1回阪神5日目 7R,2025031509010507,0DＣ  
2025年1回阪神5日目 6R,2025031509010506,0DＣ  
2025年1回阪神5日目 5R,2025031509010505,0DＣ  
2025年1回阪神5日目 4R,2025031509010504,0DＣ  
2025年1回阪神5日目 3R,2025031509010503,03Ｄ  
2025年1回阪神5日目 2R,2025031509010502,03Ｄ  
2025年1回阪神5日目 1R,2025031509010501,0DＣ  
2025年2回中山5日目12R,2025031506020512,03Ｄ  
2025年2回中山5日目11R,2025031506020511,03Ｄ  
2025年2回中山5日目10R,2025031506020510,03Ｄ  
2025年2回中山5日目 9R,2025031506020509,0DＣ  
2025年2回中山5日目 8R,2025031506020508,03Ｄ  
2025年2回中山5日目 7R,2025031506020507,02Ｂ  
2025年2回中山5日目 6R,2025031506020506,03Ｄ  
2025年2回中山5日目 5R,2025031506020505,02Ｂ  
2025年2回中山5日目 4R,2025031506020504,03Ｄ  
2025年2回中山5日目 3R,2025031506020503,03Ｄ  
2025年2回中山5日目 2R,2025031506020502,0DＣ  
2025年2回中山5日目 1R,2025031506020501,03Ｄ  
2025年2回中京1日目12R,2025031507020112,0DＣ  
2025年2回中京1日目11R,2025031507020111,0DＣ  
2025年2回中京1日目10R,2025031507020110,0DＣ  
2025年2回中京1日目 9R,2025031507020109,03Ｄ  
2025年2回中京1日目 8R,2025031507020108,03Ｄ  
2025年2回中京1日目 7R,2025031507020107,03Ｄ  
2025年2回中京1日目 6R,2025031507020106,02Ｂ  
2025年2回中京1日目 5R,2025031507020105,0DＣ  
2025年2回中京1日目 4R,2025031507020104,0DＣ  
2025年2回中京1日目 3R,2025031507020103,0DＣ  
2025年2回中京1日目 2R,2025031507020102,0DＣ  
2025年2回中京1日目 1R,2025031507020101,03Ｄ  
2025年1回阪神4日目12R,2025030909010412,03Ｄ  
2025年1回阪神4日目11R,2025030909010411,03Ｄ  
2025年1回阪神4日目10R,2025030909010410,03Ｄ  
2025年1回阪神4日目 9R,2025030909010409,0DＣ  
2025年1回阪神4日目 8R,2025030909010408,03Ｄ  
2025年1回阪神4日目 7R,2025030909010407,0DＣ  
2025年1回阪神4日目 6R,2025030909010406,0DＣ  
2025年1回阪神4日目 5R,2025030909010405,0DＣ  
2025年1回阪神4日目 4R,2025030909010404,0DＣ  
2025年1回阪神4日目 3R,2025030909010403,03Ｄ  
2025年1回阪神4日目 2R,2025030909010402,03Ｄ  
2025年1回阪神4日目 1R,2025030909010401,03Ｄ  
2025年2回中山4日目12R,2025030906020412,0DＣ  
2025年2回中山4日目11R,2025030906020411,0DＣ  
2025年2回中山4日目10R,2025030906020410,0DＣ  
2025年2回中山4日目 9R,2025030906020409,0DＣ  
2025年2回中山4日目 8R,2025030906020408,03Ｄ  
2025年2回中山4日目 7R,2025030906020407,03Ｄ  
2025年2回中山4日目 6R,2025030906020406,0DＣ  
2025年2回中山4日目 5R,2025030906020405,03Ｄ  
2025年2回中山4日目 3R,2025030906020403,03Ｄ  
2025年2回中山4日目 2R,2025030906020402,03Ｄ  
2025年2回中山4日目 1R,2025030906020401,0DＣ  
2025年1回阪神3日目12R,2025030809010312,0DＣ  
2025年1回阪神3日目11R,2025030809010311,03Ｄ  
2025年1回阪神3日目10R,2025030809010310,03Ｄ  
2025年1回阪神3日目 9R,2025030809010309,03Ｄ  
2025年1回阪神3日目 8R,2025030809010308,03Ｄ  
2025年1回阪神3日目 7R,2025030809010307,03Ｄ  
2025年1回阪神3日目 6R,2025030809010306,0DＣ  
2025年1回阪神3日目 5R,2025030809010305,03Ｄ  
2025年1回阪神3日目 4R,2025030809010304,0DＣ  
2025年1回阪神3日目 3R,2025030809010303,0DＣ  
2025年1回阪神3日目 2R,2025030809010302,0DＣ  
2025年1回阪神3日目 1R,2025030809010301,0DＣ  
2025年2回中山3日目12R,2025030806020312,03Ｄ  
2025年2回中山3日目11R,2025030806020311,0DＣ  
2025年2回中山3日目10R,2025030806020310,0DＣ  
2025年2回中山3日目 9R,2025030806020309,03Ｄ  
2025年2回中山3日目 8R,2025030806020308,0DＣ  
2025年2回中山3日目 7R,2025030806020307,03Ｄ  
2025年2回中山3日目 6R,2025030806020306,0DＣ  
2025年2回中山3日目 5R,2025030806020305,0DＣ  
2025年2回中山3日目 3R,2025030806020303,0DＣ  
2025年2回中山3日目 2R,2025030806020302,0DＣ  
2025年2回中山3日目 1R,2025030806020301,03Ｄ  
2025年1回小倉12日目12R,2025030210011212,03Ｄ  
2025年1回小倉12日目11R,2025030210011211,03Ｄ  
2025年1回小倉12日目10R,2025030210011210,0DＣ  
2025年1回小倉12日目 9R,2025030210011209,0DＣ  
2025年1回小倉12日目 8R,2025030210011208,03Ｄ  
2025年1回小倉12日目 7R,2025030210011207,03Ｄ  
2025年1回小倉12日目 6R,2025030210011206,03Ｄ  
2025年1回小倉12日目 5R,2025030210011205,03Ｄ  
2025年1回小倉12日目 3R,2025030210011203,0DＣ  
2025年1回小倉12日目 2R,2025030210011202,03Ｄ  
2025年1回小倉12日目 1R,2025030210011201,03Ｄ  
2025年1回阪神2日目12R,2025030209010212,0DＣ  
2025年1回阪神2日目11R,2025030209010211,03Ｄ  
2025年1回阪神2日目10R,2025030209010210,0DＣ  
2025年1回阪神2日目 9R,2025030209010209,0DＣ  
2025年1回阪神2日目 8R,2025030209010208,03Ｄ  
2025年1回阪神2日目 7R,2025030209010207,03Ｄ  
2025年1回阪神2日目 6R,2025030209010206,03Ｄ  
2025年1回阪神2日目 5R,2025030209010205,02Ｂ  
2025年1回阪神2日目 4R,2025030209010204,02Ｂ  
2025年1回阪神2日目 3R,2025030209010203,0DＣ  
2025年1回阪神2日目 2R,2025030209010202,0DＣ  
